time_s,pos_mm,vel_mms,accel_g,u_cmd_N,servo_deg,sky_on
0.000,12.7,-22.7,0.964,0.102,93,1
0.080,12.8,-11.1,0.969,0.05,91,1
0.160,13.5,24.2,0.968,-0.109,87,1
0.240,13,0.6,0.966,-0.003,90,1
0.320,13.6,8,0.962,-0.036,89,1
0.400,13.5,-19,0.968,0.086,93,1
0.480,13.3,-9.6,0.965,0.043,91,1
0.560,13,-8.1,0.966,0.036,91,1
0.640,13.9,-2.8,0.964,0.013,90,1
0.720,12.7,-34.3,0.965,0.154,95,1
0.800,13.2,-9,0.969,0.041,91,1
0.880,14.5,-5.8,0.97,0.026,91,1
0.960,13.4,-1.9,0.962,0.009,90,1
1.040,13.2,-0.3,0.961,0.001,90,1
1.120,14,14.8,0.97,-0.067,88,1
1.200,14,5.5,0.967,-0.025,89,1
1.280,15.7,24.2,0.966,-0.109,87,1
1.360,14.3,-16.6,0.967,0.075,92,1
1.440,14.2,-7.9,0.965,0.036,91,1
1.520,13.5,-4.6,0.967,0.021,91,1
1.600,13.7,-4.4,0.968,0.02,91,1
1.680,14.5,29,0.975,-0.131,86,1
1.760,14.8,9.4,0.969,-0.042,89,1
1.840,13.9,-14.6,0.96,0.066,92,1
1.920,13.6,-4.2,0.967,0.019,91,1
2.000,14.1,3.4,0.974,-0.015,90,1
2.080,15.3,24.9,0.997,-0.112,87,1
2.160,14.6,0,0.963,0,90,1
2.240,15,6.4,0.954,-0.029,89,1
2.320,15.5,3.5,0.96,-0.016,90,1
2.400,14,-9.1,0.961,0.041,91,1
2.480,13.7,-6.6,0.955,0.03,91,1
2.560,14.7,8,0.964,-0.036,89,1
2.640,14.2,10.3,0.966,-0.046,89,1
2.720,13.3,-3.1,0.971,0.014,90,1
2.800,13.8,13.9,0.967,-0.063,88,1
2.880,14.2,3.7,0.961,-0.017,90,1
2.960,13.1,-28.5,0.962,0.128,94,1
3.040,12.7,-7.8,0.97,0.035,91,1
3.120,11.8,-20.7,0.963,0.093,93,1
3.200,12.4,-3.3,0.965,0.015,90,1
3.280,12.7,5.1,0.964,-0.023,89,1
3.360,13.6,1.4,0.969,-0.007,90,1
3.440,14.1,25.8,0.964,-0.116,87,1
3.520,13.5,19,0.965,-0.086,87,1
3.600,14.6,13.7,0.969,-0.062,88,1
3.680,13.2,-17.8,0.968,0.08,92,1
3.760,14.1,5.1,0.965,-0.023,89,1
3.840,14.2,-4.9,0.963,0.022,91,1
3.920,14.3,2.8,0.967,-0.013,90,1
4.000,14,12.9,0.964,-0.058,88,1
4.080,13.8,-13.2,0.972,0.059,92,1
4.160,13.9,-14,0.968,0.063,92,1
4.240,12.8,-9,0.967,0.041,91,1
4.320,13,-8.8,0.971,0.039,91,1
4.400,11.6,-28.8,0.969,0.13,94,1
4.480,13.5,28.3,0.964,-0.127,86,1
4.560,14.2,6.6,0.969,-0.03,89,1
4.640,13.5,-0.5,0.966,0.002,90,1
4.720,14.1,-3.7,0.963,0.017,90,1
4.800,12.9,-8,0.968,0.036,91,1
4.880,14.2,4.8,0.964,-0.021,89,1
4.960,13.5,-1.8,0.97,0.008,90,1
5.040,14.1,-4.7,0.968,0.021,91,1
5.120,13.7,-3.4,0.968,0.015,90,1
5.200,14.4,21.2,0.963,-0.095,87,1
5.280,14.3,-6.1,0.971,0.027,91,1
5.360,13.6,-13,0.968,0.059,92,1
5.440,13.1,-28.9,0.97,0.13,94,1
5.520,14.5,29.4,0.968,-0.132,86,1
5.600,13.7,-12.9,0.965,0.058,92,1
5.680,13.4,-11.6,0.966,0.052,92,1
5.760,14.3,11.9,0.966,-0.053,88,1
5.840,14.8,0,0.977,0,90,1
5.920,13.1,-20.3,0.991,0.091,93,1
6.000,13.5,15.4,1,-0.069,88,1
6.080,15.4,16.3,0.975,-0.074,88,1
6.160,14.6,0.2,0.968,-0.001,90,1
6.240,13.6,-13.7,0.999,0.062,92,1
6.320,13.5,-3.6,0.957,0.016,90,1
6.400,13.8,4.9,0.968,-0.022,89,1
6.480,12.9,-17.8,0.95,0.08,92,1
6.560,12.9,1,1,-0.005,90,1
6.640,13.2,0.7,0.976,-0.003,90,1
6.720,13.1,-16.7,0.95,0.075,92,1
6.800,13.5,-0.5,0.939,0.002,90,1
6.880,14.1,14.7,0.944,-0.066,88,1
6.960,14.1,5.3,0.978,-0.024,89,1
7.040,14.3,3.9,0.947,-0.017,89,1
7.120,14.3,2.8,0.9,-0.013,90,1
7.200,15,8.4,0.928,-0.038,89,1
7.280,14.1,11.7,0.961,-0.053,88,1
7.360,14.2,11.8,0.954,-0.053,88,1
7.440,15.5,14.9,0.952,-0.067,88,1
7.520,15.3,-4.2,0.952,0.019,91,1
7.600,15.7,-7.6,0.95,0.034,91,1
7.680,17.2,29.8,0.917,-0.134,86,1
7.760,16.7,2.4,0.948,-0.011,90,1
7.840,16.7,10.4,0.974,-0.047,89,1
7.920,16.9,8.6,0.931,-0.039,89,1
8.000,15.9,3.2,0.975,-0.014,90,1
8.080,15.3,-11.5,0.91,0.052,92,1
8.160,17,8.5,0.929,-0.038,89,1
8.240,15.1,-2.1,0.937,0.009,90,1
8.320,14.5,-25.1,0.959,0.113,93,1
8.400,14.1,5.5,0.922,-0.025,89,1
8.480,13.9,8.4,0.935,-0.038,89,1
8.560,15.7,20,0.958,-0.09,87,1
8.640,16.2,16.7,0.92,-0.075,88,1
8.720,16.6,4.6,0.942,-0.02,89,1
8.800,16.6,11.9,0.931,-0.054,88,1
8.880,16.8,9.7,1.019,-0.044,89,1
8.960,15.8,-4.6,0.927,0.021,91,1
9.040,15.6,-3.3,0.917,0.015,90,1
9.120,17,17.9,0.936,-0.08,88,1
9.200,16.3,11,0.927,-0.05,89,1
9.280,15.9,-14.5,0.918,0.065,92,1
9.360,15.5,-12.8,0.93,0.057,92,1
9.440,16.2,2.4,0.922,-0.011,90,1
9.520,17.6,23.1,0.925,-0.104,87,1
9.600,17,-12.2,0.927,0.055,92,1
9.680,17.5,21.2,0.93,-0.095,87,1
9.760,17,4.8,0.926,-0.022,89,1
9.840,15.8,-8.1,0.931,0.037,91,1
9.920,16.7,6.9,0.931,-0.031,89,1
10.000,17.6,2.7,0.925,-0.012,90,1
10.080,17.5,2,0.904,-0.009,90,1
