time_s,pos_mm,vel_mms,accel_g,u_cmd_N,servo_deg,sky_on
0.000,20.9,-1.5,0.995,0,90,0
0.050,21.1,6.3,0.99,0,90,0
0.100,20.1,-8.2,0.983,0,90,0
0.150,18.8,-29.5,0.994,0,90,0
0.200,19,-2.6,0.986,0,90,0
0.250,20.6,9.8,0.987,0,90,0
0.300,20.5,0.8,0.992,0,90,0
0.350,19.3,-30.5,0.986,0,90,0
0.400,20,11.5,0.984,0,90,0
0.450,20.9,17.3,0.991,0,90,0
0.500,20.4,0.9,0.991,0,90,0
0.550,19.7,-14.3,0.983,0,90,0
0.600,19.9,2.9,0.996,0,90,0
0.650,19.2,-2,0.978,0,90,0
0.700,20.6,28.3,0.995,0,90,0
0.750,22,31.5,0.983,0,90,0
0.800,20.6,-0.5,0.986,0,90,0
0.850,21.2,14.6,1.004,0,90,0
0.900,20.6,-10.8,0.983,0,90,0
0.950,21.6,20.8,0.985,0,90,0
1.000,20.5,-19.8,0.988,0,90,0
1.050,21.1,13.4,0.99,0,90,0
1.100,20.9,-3.6,0.982,0,90,0
1.150,20.4,-10.5,0.987,0,90,0
1.200,20.5,7.4,0.99,0,90,0
1.250,20.5,-1.2,0.996,0,90,0
1.300,19.7,-16,0.98,0,90,0
1.350,21.7,11.7,0.982,0,90,0
1.400,21.3,-5.1,1.001,0,90,0
1.450,21.5,11.3,0.983,0,90,0
1.500,21.4,2.1,0.979,0,90,0
1.550,21.8,9.3,0.996,0,90,0
1.600,21.8,-0.8,0.992,0,90,0
1.650,22.4,14.3,0.971,0,90,0
1.700,21.7,-10.3,0.983,0,90,0
1.750,20.8,2.3,1.059,0,90,0
1.800,21.7,17,0.981,0,90,0
1.850,22,6.9,0.995,0,90,0
1.900,20.6,-5.5,0.987,0,90,0
1.950,20.5,-4.7,0.974,0,90,0
2.000,21.4,10.5,1.003,0,90,0
2.050,20.3,-21.1,0.985,0,90,0
2.100,21.1,12.1,1,0,90,0
2.150,21,-14.9,1,0,90,0
2.200,21.5,9.8,0.995,0,90,0
2.250,20.1,-29.1,1.005,0,90,0
2.300,20.3,-1.9,0.989,0,90,0
2.350,18.6,-39.1,0.987,0,90,0
2.400,19.6,11.7,0.993,0,90,0
2.450,19.4,5.5,0.991,0,90,0
2.500,20.4,19.7,1,0,90,0
2.550,21.2,6.7,0.972,0,90,0
2.600,20.2,-16.8,0.979,0,90,0
2.650,20.3,0.7,1.002,0,90,0
2.700,20.6,-0.6,0.99,0,90,0
2.750,20.2,-8,1.012,0,90,0
2.800,20.6,8.2,0.998,0,90,0
2.850,21.4,13.4,1.012,0,90,0
2.900,22.1,18.9,0.964,0,90,0
2.950,21,4.3,0.985,0,90,0
3.000,20.8,-3.9,0.983,0,90,0
3.050,20.7,-3.3,0.973,0,90,0
3.100,21,13.8,0.991,0,90,0
3.150,20.4,-10.8,0.995,0,90,0
3.200,19.4,-24.2,0.986,0,90,0
3.250,19.9,11.4,0.986,0,90,0
3.300,19.3,-12.8,1.005,0,90,0
3.350,19.4,-3.4,0.972,0,90,0
3.400,19.9,13.7,0.982,0,90,0
3.450,20.4,11.6,1,0,90,0
3.500,20.5,-7.7,0.997,0,90,0
3.550,19.4,-21.6,0.986,0,90,0
3.600,20.8,26.7,0.986,0,90,0
3.650,22.2,29,0.989,0,90,0
3.700,22.6,17.2,0.99,0,90,0
3.750,21.5,-15.4,0.99,0,90,0
3.800,21.7,0.5,0.988,0,90,0
3.850,20.9,-14.6,0.984,0,90,0
3.900,21.1,2.6,0.989,0,90,0
3.950,21,3,0.987,0,90,0
4.000,20.8,-4.9,0.993,0,90,0
4.050,22,26.4,0.996,0,90,0
4.100,19.7,-45,0.984,0,90,0
4.150,19.9,-0.8,0.982,0,90,0
4.200,18.2,-36.9,0.984,0,90,0
4.250,16.5,-46.4,0.973,0,90,0
4.300,17.5,5.6,0.999,0,90,0
4.350,19.5,17.9,1.008,0,90,0
4.400,18.8,-14.8,0.964,0,90,0
4.450,19,2.4,0.985,0,90,0
4.500,18.1,-11,0.995,0,90,0
4.550,18.2,-1.8,0.987,0,90,0
4.600,19.8,18.9,0.969,0,90,0
4.650,18.3,-28.9,0.981,0,90,0
4.700,19.4,20.4,0.989,0,90,0
4.750,18.8,-4.4,0.971,0,90,0
4.800,19,3.8,0.979,0,90,0
4.850,19.8,18.2,0.969,0,90,0
4.900,18.2,-29.6,0.992,0,90,0
4.950,17.6,-17.7,0.983,0,90,0
5.000,16.8,-22.5,0.972,0,90,0
5.050,16.4,-18.5,0.989,0,90,0
5.100,16.1,-15.7,1.001,0,90,0
5.150,16.4,-14.7,1.001,0,90,0
5.200,17.1,10,1.002,0,90,0
5.250,16.5,-14,0.986,0,90,0
5.300,16.6,4.9,0.988,0,90,0
5.350,16.9,4.1,0.993,0,90,0
5.400,16.3,-11.5,0.986,0,90,0
5.450,15.5,2.6,0.995,0,90,0
5.500,14.7,-20.3,0.993,0,90,0
5.550,16.8,27,0.997,0,90,0
5.600,17.3,15.4,0.987,0,90,0
5.650,15.6,-31.9,0.991,0,90,0
5.700,15.5,-3.9,0.993,0,90,0
5.750,14.8,-18.3,0.977,0,90,0
5.800,15.7,14.4,1,0,90,0
5.850,15.6,6.3,0.993,0,90,0
5.900,14.9,-17.2,0.99,0,90,0
5.950,14,-22.1,0.987,0,90,0
6.000,14.5,14,0.994,0,90,0
6.050,15.1,11.9,0.991,0,90,0
6.100,16.8,4.1,0.981,0,90,0
6.150,16.6,3.5,0.97,0,90,0
6.200,16.6,3,0.972,0,90,0
6.250,17,8.5,0.99,0,90,0
6.300,16.1,-15.3,0.994,0,90,0
6.350,16.2,2,0.992,0,90,0
6.400,14.6,-36,0.997,0,90,0
6.450,14.5,-8.1,0.986,0,90,0
6.500,15.2,8.1,0.999,0,90,0
6.550,15.4,8.1,0.99,0,90,0
6.600,15.4,-0.6,0.984,0,90,0
6.650,16,5.9,0.992,0,90,0
6.700,15.8,-2.5,0.992,0,90,0
6.750,16.7,20.4,0.999,0,90,0
6.800,15.1,-9.6,0.986,0,90,0
6.850,16.3,21.8,0.986,0,90,0
6.900,16.3,3.5,0.979,0,90,0
6.950,16,-4.9,0.988,0,90,0
7.000,15.5,-11.7,0.998,0,90,0
7.050,14.7,-17.4,0.996,0,90,0
7.100,15.6,16.3,0.993,0,90,0
7.150,16.6,21.3,1.006,0,90,0
7.201,16.4,-6,0.991,0,90,0
7.251,16.7,9.9,0.991,0,90,0
7.301,16.6,0.9,1,0,90,0
7.351,16.3,1.8,0.974,0,90,0
